,,REPORTE ANÁLISIS DE CABÓN,,,, Pag. 1 de 1 ,,,,,,,,,
,,,,,,QF13/40Z/010B,,,,,,,,,
,,,,,,24-feb-10,,,,,,,,,
CONTROL CARBON PROMEDIO 1,,,,,,,,,,,,,,,
MUESTRA,,ANALISIS 22/03/2016 HASTA 06/04/2016 ,,,,,,,,,,,,,
,,% Humedad,% Humedad,Ceniza,Mat. Volatil,Azufre,Poder calorífico,,,,,,,,
,,Residual,Superficial,% CSA,% CSA,% CSA,Kcal/Kg,,,,,,,,
18015168,18015168,2.72,4.54,19.61,34.12,1.53,6271,,,,,,,,
59309240,59309240,2.27,3.69,12.21,39.51,2.57,6979,,,,,,,,
43134882,43134882,1.56,3.35,17.24,36.06,1.50,6708,,,,,,,,
72751461,72751461,2.54,3.89,12.23,40.36,1.67,6884,,,,,,,,
32586305,32586305,1.38,2.16,14.64,37.62,1.38,6991,,,,,,,,
41883741,41883741,1.58,2.43,16.59,35.75,1.41,6801,,,,,,,,
72871108,72871108,2.53,3.22,10.81,40.78,3.34,7027,,,,,,,,
63928189,63928189,2.33,4.44,18.10,35.45,1.49,6388,,,,,,,,
16163927,16163927,2.29,5.98,15.30,37.44,1.73,6693,,,,,,,,
30600418,30600418,2.88,4.09,19.18,36.86,1.51,6162,,,,,,,,
43193226,43193226,1.65,3.95,14.08,35.40,1.34,7001,,,,,,,,
85391680,85391680,3.29,5.35,13.61,37.01,1.51,6678,,,,,,,,
45175837,45175837,1.45,3.31,16.44,34.79,1.11,6887,,,,,,,,
73666983,73666983,1.65,3.46,18.05,33.75,1.32,6633,,,,,,,,
72916646,72916646,0.90,1.45,17.31,31.50,0.87,6975,,,,,,,,
46460073,46460073,2.54,5.31,12.58,38.65,1.16,6965,,,,,,,,
26423728,26423728,2.01,2.14,17.76,36.16,1.15,6633,,,,,,,,
61171815,61171815,3.28,5.22,15.03,35.40,1.64,6719,,,,,,,,
46146926,46146926,2.30,4.75,12.49,38.11,0.78,6985,,,,,,,,
34965856,34965856,2.43,6.25,14.62,35.94,1.56,6797,,,,,,,,
38621832,38621832,2.54,5.63,13.77,38.90,1.55,6787,,,,,,,,
83601051,83601051,2.93,5.70,12.71,39.92,2.04,6804,,,,,,,,
63986953,63986953,3.70,5.35,15.76,38.34,1.63,6438,,,,,,,,
16060231,16060231,2.17,3.63,13.88,39.03,1.26,6895,,,,,,,,
95203726,95203726,4.62,6.86,11.76,38.04,1.82,6743,,,,,,,,
91547623,91547623,1.64,4.74,18.38,30.03,3.29,6692,,,,,,,,
95505552,95505552,3.08,3.28,13.80,34.49,1.16,6828,,,,,,,,
81357629,81357629,2.53,2.72,15.12,37.24,1.13,6765,,,,,,,,
80203009,80203009,8.39,5.87,12.38,37.09,1.46,6046,,,,,,,,
90499933,90499933,1.19,4.29,12.89,34.41,1.42,7300,,,,,,,,
31996952,31996952,1.39,1.71,13.32,38.14,1.30,7128,,,,,,,,
32806855,32806855,2.87,8.69,17.48,35.84,1.19,6393,,,,,,,,
48972155,48972155,3.63,6.35,16.66,37.32,2.10,6314,,,,,,,,
13231113,13231113,3.55,6.86,20.93,32.76,1.34,5960,,,,,,,,
11901902,11901902,4.77,5.59,15.64,37.59,1.13,6279,,,,,,,,
19545759,19545759,2.45,5.24,15.93,35.55,1.26,6582,,,,,,,,
51909513,51909513,1.27,4.53,16.15,33.56,1.45,6953,,,,,,,,
24979105,24979105,2.42,2.45,13.37,38.07,1.75,6903,,,,,,,,
80638485,80638485,1.76,2.02,12.82,33.56,1.07,7157,,,,,,,,
23352359,23352359,2.42,5.59,17.21,36.43,1.23,6560,,,,,,,,
45828826,45828826,2.47,7.39,22.06,34.68,1.54,6072,,,,,,,,
12190104,12190104,7.23,8.12,13.32,38.83,1.09,6203,,,,,,,,
23000051,23000051,2.18,3.32,12.19,37.98,1.35,6955,,,,,,,,
37589208,37589208,4.03,8.37,16.11,37.44,1.36,6248,,,,,,,,
82879037,82879037,2.34,2.31,9.32,40.34,1.23,7276,,,,,,,,
32299899,32299899,1.50,2.90,19.02,33.84,1.50,6575,,,,,,,,
34975495,34975495,2.43,3.95,20.71,34.56,1.13,6224,,,,,,,,
47924547,47924547,5.02,10.15,13.95,38.47,1.03,6368,,,,,,,,
35542165,35542165,2.58,3.44,14.82,38.26,1.24,6668,,,,,,,,
87608527,87608527,1.63,3.40,14.02,34.67,1.18,7081,,,,,,,,
94617068,94617068,1.73,2.76,14.53,36.19,1.38,6960,,,,,,,,
37194129,37194129,1.92,2.78,12.66,35.59,1.05,7047,,,,,,,,
43713109,43713109,0.93,1.79,16.76,32.52,0.81,7049,,,,,,,,
51913122,51913122,3.39,4.86,16.81,37.22,1.30,6420,,,,,,,,
12384965,12384965,1.58,3.30,15.70,36.62,1.48,6711,,,,,,,,
97420182,97420182,2.99,6.34,16.90,37.22,1.02,6333,,,,,,,,
39829704,39829704,2.52,4.49,19.84,37.31,1.78,6217,,,,,,,,
96698466,96698466,3.99,8.35,13.93,38.10,1.25,6486,,,,,,,,
79696986,79696986,1.74,3.06,16.80,34.70,1.15,6790,,,,,,,,
24834401,24834401,2.50,5.77,11.53,38.33,0.92,7044,,,,,,,,
11780861,11780861,6.20,7.01,16.89,37.95,1.92,5927,,,,,,,,
20482826,20482826,1.73,4.93,16.07,32.54,2.57,6895,,,,,,,,
15223473,15223473,2.19,2.70,16.51,36.62,1.28,6657,,,,,,,,
69045685,69045685,1.92,3.71,19.80,36.11,1.70,6399,,,,,,,,
32773164,32773164,1.69,4.26,16.62,32.18,1.53,6858,,,,,,,,
52888900,52888900,5.93,6.02,14.91,38.26,1.73,6214,,,,,,,,
65940130,65940130,3.67,6.39,12.99,37.28,1.29,6712,,,,,,,,
75684121,75684121,0.88,2.24,15.61,31.55,0.84,7095,,,,,,,,
16543711,16543711,2.04,4.53,15.49,37.34,1.89,6775,,,,,,,,
98076326,98076326,2.71,2.77,17.57,38.56,2.40,6387,,,,,,,,
95001205,95001205,2.29,4.54,13.72,38.73,1.16,6855,,,,,,,,
10208067,10208067,3.13,4.75,14.80,36.30,1.48,6634,,,,,,,,
48317918,48317918,2.06,2.44,10.88,37.27,1.56,7262,,,,,,,,
62201137,62201137,2.27,2.85,11.22,38.85,1.90,7082,,,,,,,,
